id;DB;LT;PCS;TCFM;TCZM;TMVM;DRA;RGC;RGNC;PCSC;TCFC;TMVC;TCZC;RCF;
154;507;27,65;4587;16,63;0,20;83,17;340;34,57;21,23;7546;75,20;24,27;0,53;26,00;
155;491;28,38;4548;16,38;0,25;83,37;295;34,28;21,87;7415;75,35;24,29;0,37;25,83;
156;496;27,69;4632;15,84;0,24;83,91;308;35,49;19,21;7412;73,19;26,33;0,48;25,98;
157;498;27,86;4645;14,95;0,12;84,93;326;33,16;25,56;7542;74,92;25,08;0,43;24,84;
158;493;29,64;4620;15,44;0,13;84,44;309;35,49;19,55;7459;75,93;23,49;0,58;26,95;
159;501;29,91;4669;14,79;0,14;85,07;302;34,10;20,75;7398;76,44;23,01;0,55;26,06;
160;553;30,90;4644;17,61;0,14;82,25;350;34,80;19,68;7506;74,23;25,31;0,46;25,83;
161;554;31,79;4659;18,09;0,13;81,78;344;35,17;20,08;7569;73,90;25,46;0,64;25,99;
162;553;29,49;4674;17,36;0,12;82,52;340;35,02;21,01;7364;73,03;26,46;0,51;25,57;
163;468;31,61;4660;14,00;0,14;85,86;314;34,22;24,71;7276;73,13;26,45;0,42;25,03;
164;465;31,26;4547;14,30;0,10;85,60;310;34,80;19,36;7392;73,97;25,60;0,43;25,74;
165;462;29,52;4615;13,58;0,11;86,31;316;33,66;24,49;7290;74,50;25,09;0,41;25,08;
166;522;29,68;4631;13,65;0,07;86,28;369;33,94;17,62;7401;74,37;25,18;0,45;25,24;
167;505;30,04;4586;14,22;0,12;85,66;397;33,33;16,76;7526;75,60;23,95;0,45;25,20;
168;503;27,87;4589;14,56;0,08;85,35;403;33,54;25,17;7443;74,01;25,51;0,48;24,82;
169;552;30,07;4699;18,12;0,14;81,74;372;33,50;22,82;7541;74,84;24,39;0,78;25,07;
170;563;30,40;4523;18,04;0,12;81,83;371;34,11;20,07;7483;73,24;25,88;0,89;24,98;
171;548;28,54;4653;17,68;0,15;82,17;361;33,56;20,14;7618;74,35;24,97;0,68;24,95;
172;516;27,39;4658;16,70;0,25;82,89;321;33,47;22,15;7556;76,54;22,92;0,54;25,62;
173;517;32,00;4743;17,07;0,25;82,67;338;33,93;22,50;7497;74,87;24,53;0,60;25,41;
174;529;28,24;4593;16,13;0,24;83,63;356;33,71;22,49;7558;76,81;22,79;0,40;25,90;
175;499;28,17;4620;16,36;0,00;83,64;310;35,01;23,12;7330;75,34;24,33;0,34;26,38;
176;518;31,78;4582;15,97;0,07;83,96;328;35,64;17,71;7383;74,05;25,47;0,47;26,39;
177;505;28,62;4634;15,57;0,10;84,33;316;34,74;17,37;7495;76,77;22,75;0,48;26,67;
178;578;32,16;4705;17,52;0,20;82,29;388;36,09;19,81;7431;73,58;25,85;0,57;26,56;
179;561;32,67;4552;18,68;0,22;81,08;366;35,18;21,86;7420;75,18;24,37;0,45;26,45;
180;571;33,10;4567;18,34;0,21;81,45;395;35,26;21,64;7408;75,36;24,05;0,59;26,57;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
